,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,property_type,room_type,bathrooms_text,instant_bookable,minimum_nights,maximum_nights
65,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
66,Rapida,Respuesta alta,f,f,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
67,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
68,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
69,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
70,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
71,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
72,No rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
73,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
74,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
75,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
76,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
77,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Bajo
78,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
79,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
80,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
81,Rapida,Respuesta alta,f,f,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
82,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
83,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Bajo
84,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
